"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Bagus Mob","bagu_chan500","/minecraft/mc-mods/bagus-mob/download/5082326","4.1K","Jul 7, 2023","Feb 5, 2024","206.64 KB","1.20.4","NeoForge","Mods, Armor, Tools, and Weapons, Mobs"
"GrowableOres - Ore Cane","skniro","/minecraft/mc-mods/growableores/download/5095563","14.9K","Jul 7, 2023","Feb 10, 2024","337.70 KB","1.20.1","Fabric","Mods, Automation, Ores and Resources, Applied Energistics 2"
"MoreFoodz Expanded","SydneyWoofles","/minecraft/mc-mods/morefoodz-expanded/download/4629961","42","Jul 7, 2023","Jul 7, 2023","134.83 KB","1.19.4","Forge","Mods, Food, Utility & QoL, Utility & QoL"
"Hoxcraft's Scuffed Currency","Hoxworth","/minecraft/mc-mods/hoxcrafts-scuffed-currency/download/4629825","123","Jul 7, 2023","Jul 7, 2023","24.15 KB","1.19.2","Fabric","Mods, Utility & QoL, MCreator"
"Multipart Machines: Cooking","Grabolit","/minecraft/mc-mods/multipart-machines-cooking/download/4804354","27.6K","Jul 7, 2023","Oct 18, 2023","1.32 MB","1.20.1","Forge","Mods, Food, Cosmetic, Cosmetic, Technology"
"become a vampire","LightningSurfer","/minecraft/mc-mods/become-a-vampire/download/4690633","372","Jul 7, 2023","Aug 9, 2023","3.23 MB","1.19.2","Forge","Mods, Adventure and RPG, Biomes, MCreator"
"Spawners+","NathanTheCraziest","/minecraft/mc-mods/spawners-plus/download/5041864","529.3K","Jul 7, 2023","Jan 18, 2024","53.52 KB","1.19.4","Fabric","Mods, Mobs, Utility & QoL, Structures"
"did you said boss fight?","sunshinelay02","/minecraft/mc-mods/did-you-said-boss-fight/download/5051958","1.6K","Jul 7, 2023","Jan 22, 2024","1.63 MB","1.20.1","Forge","Mods, Structures, MCreator, Adventure and RPG, Mobs"
"Hammer That Rock!","FaerMinded","/minecraft/mc-mods/hammer-that-rock/download/4634756","791","Jul 7, 2023","Jul 10, 2023","50.34 KB","1.19.2","Forge","Mods, Utility & QoL, Addons, Technology, Processing"
"Zaynen's Craftable Debug Stick","zany_zaynen","/minecraft/mc-mods/zaynens-craftable-debug-stick/download/4870406","1.1K","Jul 7, 2023","Nov 15, 2023","5.47 KB","1.20.1","Forge","Mods, MCreator, Server Utility"
"Zaynen's Craftable Bottle o Enchanting","zany_zaynen","/minecraft/mc-mods/zaynens-craftable-bottle-o-enchanting/download/4875189","2.1K","Jul 7, 2023","Nov 17, 2023","5.63 KB","1.20.1","Forge","Mods, MCreator, Magic"
"Endite Gear","KytesTv","/minecraft/mc-mods/endite-gear/download/4629435","1.0K","Jul 7, 2023","Jul 7, 2023","866.61 KB","1.20.1","Forge","Mods, MCreator, Ores and Resources, Armor, Tools, and Weapons, Cosmetic, Adventure and RPG"
"The Roblox Exploit Expansion","wellone","/minecraft/mc-mods/the-roblox-exploit-expansion/download/4629385","303","Jul 7, 2023","Jul 7, 2023","804.96 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons"
